,region,category,parameter,mode,powertrain,year,unit,value
194,Europe,Historical,EV charging points,EV,Publicly available slow,2011,charging points,6100
195,Europe,Historical,EV charging points,EV,Publicly available fast,2011,charging points,24
196,Europe,Historical,EV charging points,EV,Publicly available fast,2012,charging points,160
197,Europe,Historical,EV charging points,EV,Publicly available slow,2012,charging points,16000
198,Europe,Historical,EV charging points,EV,Publicly available slow,2013,charging points,25000
199,Europe,Historical,EV charging points,EV,Publicly available fast,2013,charging points,780
200,Europe,Historical,EV charging points,EV,Publicly available fast,2014,charging points,1400
201,Europe,Historical,EV charging points,EV,Publicly available slow,2014,charging points,37000
202,Europe,Historical,EV charging points,EV,Publicly available slow,2015,charging points,59000
203,Europe,Historical,EV charging points,EV,Publicly available fast,2015,charging points,3800
204,Europe,Historical,EV charging points,EV,Publicly available fast,2016,charging points,5700
205,Europe,Historical,EV charging points,EV,Publicly available slow,2016,charging points,94000
206,Europe,Historical,EV charging points,EV,Publicly available slow,2017,charging points,110000
207,Europe,Historical,EV charging points,EV,Publicly available fast,2017,charging points,9300
208,Europe,Historical,EV charging points,EV,Publicly available fast,2018,charging points,13000
209,Europe,Historical,EV charging points,EV,Publicly available slow,2018,charging points,130000
210,Europe,Historical,EV charging points,EV,Publicly available slow,2019,charging points,170000
211,Europe,Historical,EV charging points,EV,Publicly available fast,2019,charging points,20000
212,Europe,Historical,EV charging points,EV,Publicly available fast,2020,charging points,30000
213,Europe,Historical,EV charging points,EV,Publicly available slow,2020,charging points,220000
214,Europe,Historical,EV charging points,EV,Publicly available slow,2021,charging points,310000
215,Europe,Historical,EV charging points,EV,Publicly available fast,2021,charging points,43000
220,Finland,Historical,EV charging points,EV,Publicly available fast,2013,charging points,17
221,Finland,Historical,EV charging points,EV,Publicly available slow,2013,charging points,250
222,Finland,Historical,EV charging points,EV,Publicly available fast,2014,charging points,26
223,Finland,Historical,EV charging points,EV,Publicly available slow,2014,charging points,360
224,Finland,Historical,EV charging points,EV,Publicly available fast,2015,charging points,130
225,Finland,Historical,EV charging points,EV,Publicly available slow,2015,charging points,710
226,Finland,Historical,EV charging points,EV,Publicly available fast,2016,charging points,140
227,Finland,Historical,EV charging points,EV,Publicly available slow,2016,charging points,710
228,Finland,Historical,EV charging points,EV,Publicly available fast,2017,charging points,140
229,Finland,Historical,EV charging points,EV,Publicly available slow,2017,charging points,710
230,Finland,Historical,EV charging points,EV,Publicly available fast,2018,charging points,220
231,Finland,Historical,EV charging points,EV,Publicly available slow,2018,charging points,710
232,Finland,Historical,EV charging points,EV,Publicly available fast,2019,charging points,340
233,Finland,Historical,EV charging points,EV,Publicly available slow,2019,charging points,1800
234,Finland,Historical,EV charging points,EV,Publicly available fast,2020,charging points,410
235,Finland,Historical,EV charging points,EV,Publicly available slow,2020,charging points,3900
236,Finland,Historical,EV charging points,EV,Publicly available fast,2021,charging points,770
237,Finland,Historical,EV charging points,EV,Publicly available slow,2021,charging points,5800
242,France,Historical,EV charging points,EV,Publicly available fast,2012,charging points,9
243,France,Historical,EV charging points,EV,Publicly available slow,2012,charging points,800
244,France,Historical,EV charging points,EV,Publicly available fast,2013,charging points,100
245,France,Historical,EV charging points,EV,Publicly available slow,2013,charging points,1700
246,France,Historical,EV charging points,EV,Publicly available fast,2014,charging points,110
247,France,Historical,EV charging points,EV,Publicly available slow,2014,charging points,1700
248,France,Historical,EV charging points,EV,Publicly available fast,2015,charging points,580
249,France,Historical,EV charging points,EV,Publicly available slow,2015,charging points,9900
250,France,Historical,EV charging points,EV,Publicly available fast,2016,charging points,1000
251,France,Historical,EV charging points,EV,Publicly available slow,2016,charging points,19000
252,France,Historical,EV charging points,EV,Publicly available fast,2017,charging points,1000
253,France,Historical,EV charging points,EV,Publicly available slow,2017,charging points,20000
254,France,Historical,EV charging points,EV,Publicly available fast,2018,charging points,1700
255,France,Historical,EV charging points,EV,Publicly available slow,2018,charging points,23000
256,France,Historical,EV charging points,EV,Publicly available fast,2019,charging points,2000
257,France,Historical,EV charging points,EV,Publicly available slow,2019,charging points,28000
